StatCollector Log Time: 2016-10-25--17-22-44



SIDnet-SWANS Simulation Log File

GroupBy parameters:

<repeatIndex>		2
<experimentsTargetDirectory>		.
<runId>		1
<experimentId>		1
<experimentTag>		DM
<statsLoggingInterval[s]>		60000000000 


 <header> 	Time	DATA_PacketSentContor	DATA_PacketReceivedContor	DATA_PacketReceivedPercentage	DATA_PacketDeliveryLatency_MAX	SEND_PACKET_Contor	RECEIVE_PACKET_Contor	SINK_RECEIVED_TARGET_Contor	SINK_RECEIVED_DATAVALUES_Contor	MESSAGE_HOPS_Contor	A_EnergyLeftPercentage_AVG	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.99	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.99	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.98	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.97	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.97	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	7.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	287.0	285.0	0.0	0.0	11685.0	99.89	 
 <row> 1.0	0	0	0	0	432.0	429.0	0.0	0.0	17589.0	99.89	 
 <row> 1.1	0	0	0	0	628.0	626.0	0.0	0.0	25666.0	99.88	 
 <row> 1.1	0	0	0	0	818.0	816.0	0.0	0.0	33456.0	99.88	 
 <row> 1.1	0	0	0	0	1005.0	1002.0	0.0	0.0	41082.0	99.87	 
 <row> 1.1	0	0	0	0	1199.0	1197.0	0.0	0.0	49077.0	99.87	 
 <row> 1.1	0	0	0	0	1393.0	1387.0	0.0	0.0	56867.0	99.86	 
 <row> 1.2	0	0	0	0	1592.0	1592.0	1.0	0.0	65272.0	99.86	 
 <row> 1.2	0	0	0	0	1795.0	1796.0	1.0	0.0	73636.0	99.85	 
 <row> 1.2	0	0	0	0	1974.0	1972.0	1.0	0.0	80852.0	99.85	 
 <row> 1.2	0	0	0	0	2169.0	2166.0	1.0	0.0	88806.0	99.84	 
 <row> 1.2	0	0	0	0	2368.0	2363.0	1.0	0.0	96883.0	99.84	 
 <row> 1.2	0	0	0	0	2559.0	2556.0	1.0	0.0	104796.0	99.84	 
 <row> 1.2	0	0	0	0	2754.0	2751.0	1.0	0.0	112791.0	99.83	 
 <row> 1.3	0	0	0	0	2956.0	2949.0	1.0	0.0	120909.0	99.83	 
 <row> 1.3	0	0	0	0	3151.0	3145.0	2.0	0.0	128945.0	99.82	 
 <row> 1.3	0	0	0	0	3344.0	3338.0	2.0	0.0	136858.0	99.82	 
 <row> 1.3	0	0	0	0	3542.0	3536.0	2.0	0.0	144976.0	99.81	 
 <row> 1.3	0	0	0	0	3727.0	3716.0	2.0	0.0	152356.0	99.81	 
 <row> 1.4	0	0	0	0	3922.0	3915.0	2.0	0.0	160515.0	99.8	 
 <row> 1.4	0	0	0	0	4113.0	4105.0	2.0	0.0	168305.0	99.8	 
 <row> 1.4	0	0	0	0	4299.0	4290.0	2.0	0.0	175890.0	99.79	 
 <row> 1.4	0	0	0	0	4494.0	4484.0	2.0	0.0	183844.0	99.79	 
 <row> 1.4	0	0	0	0	4703.0	4695.0	3.0	0.0	192495.0	99.78	 
 <row> 1.4	0	0	0	0	4887.0	4877.0	3.0	0.0	199957.0	99.78	 
 <row> 1.4	0	0	0	0	5080.0	5069.0	3.0	0.0	207829.0	99.77	 
 <row> 1.5	0	0	0	0	5279.0	5270.0	3.0	0.0	216070.0	99.77	 
 <row> 1.5	0	0	0	0	5466.0	5456.0	3.0	0.0	223696.0	99.76	 
 <row> 1.5	0	0	0	0	5669.0	5657.0	3.0	0.0	231937.0	99.76	 
 <row> 1.5	0	0	0	0	5849.0	5834.0	3.0	0.0	239194.0	99.75	 
 <row> 1.5	0	0	0	0	6051.0	6035.0	3.0	0.0	247435.0	99.75	 
 <row> 1.6	0	0	0	0	6259.0	6246.0	4.0	0.0	256086.0	99.74	 
