StatCollector Log Time: 2016-10-26--02-41-49



SIDnet-SWANS Simulation Log File

GroupBy parameters:

<repeatIndex>		2
<experimentsTargetDirectory>		.
<runId>		1
<experimentId>		1
<experimentTag>		DM
<statsLoggingInterval[s]>		60000000000 


 <header> 	Time	DATA_PacketSentContor	DATA_PacketReceivedContor	DATA_PacketReceivedPercentage	DATA_PacketDeliveryLatency_MAX	SEND_PACKET_Contor	RECEIVE_PACKET_Contor	SINK_RECEIVED_TARGET_Contor	SINK_RECEIVED_DATAVALUES_Contor	MESSAGE_HOPS_Contor	A_EnergyLeftPercentage_AVG	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.99	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.99	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.98	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.97	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.97	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	2.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	290.0	287.0	0.0	0.0	11767.0	99.89	 
 <row> 1.0	0	0	0	0	429.0	426.0	0.0	0.0	17466.0	99.89	 
 <row> 1.1	0	0	0	0	627.0	627.0	0.0	0.0	25707.0	99.88	 
 <row> 1.1	0	0	0	0	831.0	828.0	0.0	0.0	33948.0	99.88	 
 <row> 1.1	0	0	0	0	1024.0	1021.0	0.0	0.0	41861.0	99.87	 
 <row> 1.1	0	0	0	0	1210.0	1202.0	0.0	0.0	49282.0	99.87	 
 <row> 1.1	0	0	0	0	1412.0	1406.0	0.0	0.0	57646.0	99.86	 
 <row> 1.2	0	0	0	0	1622.0	1619.0	1.0	0.0	66379.0	99.86	 
 <row> 1.2	0	0	0	0	1823.0	1821.0	1.0	0.0	74661.0	99.85	 
 <row> 1.2	0	0	0	0	2019.0	2017.0	1.0	0.0	82697.0	99.85	 
 <row> 1.2	0	0	0	0	2201.0	2200.0	1.0	0.0	90200.0	99.84	 
 <row> 1.2	0	0	0	0	2407.0	2402.0	1.0	0.0	98482.0	99.84	 
 <row> 1.2	0	0	0	0	2595.0	2592.0	1.0	0.0	106272.0	99.83	 
 <row> 1.2	0	0	0	0	2789.0	2786.0	1.0	0.0	114226.0	99.83	 
 <row> 1.3	0	0	0	0	2978.0	2972.0	1.0	0.0	121852.0	99.83	 
 <row> 1.3	0	0	0	0	3207.0	3201.0	2.0	0.0	131241.0	99.82	 
 <row> 1.3	0	0	0	0	3402.0	3400.0	2.0	0.0	139400.0	99.82	 
 <row> 1.3	0	0	0	0	3600.0	3599.0	2.0	0.0	147559.0	99.81	 
 <row> 1.3	0	0	0	0	3795.0	3792.0	2.0	0.0	155472.0	99.81	 
 <row> 1.4	0	0	0	0	3977.0	3974.0	2.0	0.0	162934.0	99.8	 
 <row> 1.4	0	0	0	0	4180.0	4173.0	2.0	0.0	171093.0	99.8	 
 <row> 1.4	0	0	0	0	4373.0	4371.0	2.0	0.0	179211.0	99.79	 
 <row> 1.4	0	0	0	0	4568.0	4562.0	2.0	0.0	187042.0	99.79	 
 <row> 1.4	0	0	0	0	4795.0	4795.0	3.0	0.0	196595.0	99.78	 
 <row> 1.4	0	0	0	0	4985.0	4985.0	3.0	0.0	204385.0	99.78	 
 <row> 1.4	0	0	0	0	5185.0	5185.0	3.0	0.0	212585.0	99.77	 
 <row> 1.5	0	0	0	0	5372.0	5370.0	3.0	0.0	220170.0	99.77	 
 <row> 1.5	0	0	0	0	5573.0	5574.0	3.0	0.0	228534.0	99.76	 
 <row> 1.5	0	0	0	0	5768.0	5768.0	3.0	0.0	236488.0	99.76	 
 <row> 1.5	0	0	0	0	5973.0	5973.0	3.0	0.0	244893.0	99.75	 
 <row> 1.5	0	0	0	0	6154.0	6154.0	3.0	0.0	252314.0	99.75	 
 <row> 1.6	0	0	0	0	6378.0	6379.0	4.0	0.0	261539.0	99.74	 
