StatCollector Log Time: 2016-10-26--02-33-57



SIDnet-SWANS Simulation Log File

GroupBy parameters:

<repeatIndex>		2
<experimentsTargetDirectory>		.
<runId>		1
<experimentId>		1
<experimentTag>		DM
<statsLoggingInterval[s]>		60000000000 


 <header> 	Time	DATA_PacketSentContor	DATA_PacketReceivedContor	DATA_PacketReceivedPercentage	DATA_PacketDeliveryLatency_MAX	SEND_PACKET_Contor	RECEIVE_PACKET_Contor	SINK_RECEIVED_TARGET_Contor	SINK_RECEIVED_DATAVALUES_Contor	MESSAGE_HOPS_Contor	A_EnergyLeftPercentage_AVG	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.99	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.99	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.98	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.97	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.97	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.91	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	6.0	0.0	0.0	0.0	0.0	99.9	 
 <row> 1.0	0	0	0	0	290.0	284.0	0.0	0.0	11644.0	99.89	 
 <row> 1.0	0	0	0	0	444.0	440.0	0.0	0.0	18040.0	99.89	 
 <row> 1.1	0	0	0	0	624.0	619.0	0.0	0.0	25379.0	99.88	 
 <row> 1.1	0	0	0	0	832.0	830.0	0.0	0.0	34030.0	99.88	 
 <row> 1.1	0	0	0	0	1010.0	1009.0	0.0	0.0	41369.0	99.87	 
 <row> 1.1	0	0	0	0	1213.0	1212.0	0.0	0.0	49692.0	99.87	 
 <row> 1.1	0	0	0	0	1423.0	1419.0	0.0	0.0	58179.0	99.86	 
 <row> 1.2	0	0	0	0	1634.0	1628.0	1.0	0.0	66748.0	99.86	 
 <row> 1.2	0	0	0	0	1824.0	1824.0	1.0	0.0	74784.0	99.85	 
 <row> 1.2	0	0	0	0	2015.0	2015.0	1.0	0.0	82615.0	99.85	 
 <row> 1.2	0	0	0	0	2215.0	2215.0	1.0	0.0	90815.0	99.84	 
 <row> 1.2	0	0	0	0	2414.0	2414.0	1.0	0.0	98974.0	99.84	 
 <row> 1.2	0	0	0	0	2613.0	2612.0	1.0	0.0	107092.0	99.83	 
 <row> 1.2	0	0	0	0	2802.0	2802.0	1.0	0.0	114882.0	99.83	 
 <row> 1.3	0	0	0	0	3003.0	2996.0	1.0	0.0	122836.0	99.82	 
 <row> 1.3	0	0	0	0	3222.0	3222.0	2.0	0.0	132102.0	99.82	 
 <row> 1.3	0	0	0	0	3409.0	3409.0	2.0	0.0	139769.0	99.81	 
 <row> 1.3	0	0	0	0	3618.0	3618.0	2.0	0.0	148338.0	99.81	 
 <row> 1.3	0	0	0	0	3804.0	3805.0	2.0	0.0	156005.0	99.81	 
 <row> 1.4	0	0	0	0	3991.0	3992.0	2.0	0.0	163672.0	99.8	 
 <row> 1.4	0	0	0	0	4186.0	4189.0	2.0	0.0	171749.0	99.8	 
 <row> 1.4	0	0	0	0	4380.0	4384.0	2.0	0.0	179744.0	99.79	 
 <row> 1.4	0	0	0	0	4579.0	4581.0	2.0	0.0	187821.0	99.79	 
 <row> 1.4	0	0	0	0	4799.0	4800.0	4.0	0.0	196800.0	99.78	 
 <row> 1.4	0	0	0	0	4985.0	4990.0	4.0	0.0	204590.0	99.78	 
 <row> 1.4	0	0	0	0	5182.0	5187.0	4.0	0.0	212667.0	99.77	 
 <row> 1.5	0	0	0	0	5377.0	5382.0	4.0	0.0	220662.0	99.77	 
 <row> 1.5	0	0	0	0	5565.0	5571.0	4.0	0.0	228411.0	99.76	 
 <row> 1.5	0	0	0	0	5765.0	5770.0	4.0	0.0	236570.0	99.76	 
 <row> 1.5	0	0	0	0	5958.0	5964.0	4.0	0.0	244524.0	99.75	 
 <row> 1.5	0	0	0	0	6138.0	6140.0	4.0	0.0	251740.0	99.75	 
 <row> 1.6	0	0	0	0	6377.0	6384.0	5.0	0.0	261744.0	99.74	 
